data final;preco gas c;preco brent;preco dolar;preco brent real;ano
05/01/2013;2.758;112.58;2.0347;229.066526;2013
12/01/2013;2.764;110.3;2.0332;224.26196;2013
19/01/2013;2.758;111.71;2.0408;227.977768;2013
26/01/2013;2.763;113.88;2.03;231.1764;2013
02/02/2013;2.772;115.55;1.9878;229.69029;2013
09/02/2013;2.881;118.9;1.9732;234.61348;2013
16/02/2013;2.89;117.4;1.9688;231.13712;2013
23/02/2013;2.889;113.74;1.9727;224.374898;2013
02/03/2013;2.889;110.14;1.9792;217.989088;2013
09/03/2013;2.889;108.91;1.9447;211.797277;2013
16/03/2013;2.89;109.32;1.9817;216.639444;2013
23/03/2013;2.886;106.51;2.0091;213.989241;2013
30/03/2013;2.878;108.46;2.0242;219.544732;2013
06/04/2013;2.88;103.98;1.986;206.50428;2013
13/04/2013;2.875;100.58;1.9695;198.09231;2013
20/04/2013;2.876;98.94;2.0108;198.948552;2013
27/04/2013;2.875;102.39;1.9988;204.657132;2013
04/05/2013;2.871;104.6;2.0091;210.15186;2013
11/05/2013;2.868;101.31;2.0201;204.656331;2013
18/05/2013;2.865;103.83;2.0353;211.325199;2013
25/05/2013;2.856;101.24;2.0518;207.724232;2013
01/06/2013;2.853;100.43;2.1423;215.151189;2013
08/06/2013;2.852;104.07;2.1321;221.887647;2013
15/06/2013;2.852;105.1;2.1528;226.25928;2013
22/06/2013;2.844;100.36;2.242;225.00712;2013
29/06/2013;2.844;102.49;2.2321;228.767929;2013
06/07/2013;2.842;107.46;2.2525;242.05365;2013
13/07/2013;2.838;109.03;2.2673;247.203719;2013
20/07/2013;2.839;109.34;2.2467;245.654178;2013
27/07/2013;2.84;107.57;2.2568;242.763976;2013
03/08/2013;2.835;109.63;2.2876;250.789588;2013
10/08/2013;2.83;108.49;2.2717;246.456733;2013
17/08/2013;2.834;111.82;2.3925;267.52935;2013
24/08/2013;2.841;112.12;2.3486;263.325032;2013
31/08/2013;2.835;115.97;2.3862;276.727614;2013
07/09/2013;2.832;117.15;2.3066;270.21819;2013
14/09/2013;2.833;113.31;2.2803;258.380793;2013
21/09/2013;2.835;110.22;2.2102;243.608244;2013
